id,type,tileType,health,damageable,destructible,dontDestroy,immune,lootTable,lootOnDmg,dontDropSelf,dontDropLoot,mineable,diggable,requiresDrill,tileCD,plant,growing,critter,catTags
AlienTechDestructible,PlaceablePrefab,none,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1
AlienTechHelm,Helm,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AlienTechPantsArmor,PantsArmor,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AlienTechSpire,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
AmberBoulder,NonObtainable,none,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
AmberChunk,Valuable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AmberFishEgg,Valuable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AmberLarva,Eatable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AmberLarva2,Eatable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ammonite,Valuable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AmmoniteNecklace,Necklace,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AmoebaBomb,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
AmoebaGiantSegment,Creature,none,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
AmoebaGiantSegmentBody,NonObtainable,none,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
AmoebaGiantSegmentTail,NonObtainable,none,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
AmoebaWormSegment,Creature,none,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
AmoebaWormSegmentTail,NonObtainable,none,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
AnchorAxe,MeleeWeapon,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AncientCoin,NonUsable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AncientDestructible,PlaceablePrefab,none,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1
AncientDestructibleDebris,NonObtainable,debris,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
AncientFeather,NonUsable,none,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1
AncientFishingHook,Valuable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AncientForge,NonObtainable,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
AncientFountain,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
AncientGemNecklace,Necklace,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AncientGemPlate,Valuable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AncientGemRing,Ring,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AncientGemstone,NonUsable,ancientCrystal,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
AncientGemstoneBreastArmor,BreastArmor,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AncientGemstonePantsArmor,PantsArmor,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AncientGiant,NonObtainable,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
AncientGoldenCoin,Valuable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AncientGolem,Creature,none,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
AncientGuardianNecklace,Necklace,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AncientGuardianRing,Ring,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AncientHologramPod,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
AncientMakeupSet,Valuable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AncientMiningPick,MiningPick,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AncientSpear,MeleeWeapon,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AncientWire,PlaceablePrefab,ancientCircuitPlate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AngleFish,Eatable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AnniversaryCake,Eatable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AnniversaryPartyHatBlue,Helm,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AnniversaryPartyHatGreen,Helm,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AnniversaryPartyHatPurple,Helm,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AnniversaryPartyHatRed,Helm,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AntiqueBoardGame,Valuable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ApprenticeBreastArmor,BreastArmor,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ApprenticeHelm,Helm,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ApprenticePantsArmor,PantsArmor,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Aquarium,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
AquariumBeach,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
AquariumCrystal,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
AquariumDesert,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
AquariumNature,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
AquariumPassage,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
ArcaneMonkBreastArmor,BreastArmor,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ArcaneMonkHelm,Helm,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ArcaneMonkPantsArmor,PantsArmor,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ArcaneStaff,RangeWeapon,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ArcaneStaffProjectile,NonObtainable,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ArcheologyHelm,Helm,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ArcheologyPants,PantsArmor,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ArcheologyShirt,BreastArmor,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AssassinBreastArmor,BreastArmor,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AssassinDaggerProjectile,NonObtainable,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AssassinHelm,Helm,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AstralJelly,Eatable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AtlantianWormChest,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
AtlantianWormHeart,Eatable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AtlantianWormHelm,Helm,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AtlantianWormNecklace,Necklace,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AtlantianWormRing,Ring,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AtlantianWormSword,MeleeWeapon,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AtlantianWormTrophy,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
AutomationTable,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
AzeosBeakNecklace,Necklace,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AzeosFeatherFan,KeyItem,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AzeosSoulOrb,NonObtainable,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AzeosSwiftFeather,Offhand,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AzeosTrophy,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
AzureFeatherFish,Eatable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BagOfMarbles,Valuable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BaitFishBitesFaster,Offhand,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BaitFishBitesFasterAndIncreasedChanceToGetFish,Offhand,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BaitFishBitesFasterAndStartsCloserToBeReeledIn,Offhand,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BaitFishStartsCloserToBeReeledIn,Offhand,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BaitIncreaseChanceOfHigherRarityFish,Offhand,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BaitIncreasedChanceToGetFish,Offhand,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BaitIncreasedChanceToGetFishLoot,Offhand,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BaitOctopusBoss,Offhand,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BaitOnAPole,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
BalloonSpore,Valuable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BandanaHelm,Helm,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Banner,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
BasicStaff,RangeWeapon,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BasicStaffProjectile,NonObtainable,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BatMinion,Creature,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BatMinionProjectile,NonObtainable,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BattleAxe,MeleeWeapon,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bed,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
BentFork,Valuable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BigFloorTileCaveling,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1
BigFloorTileGemstone,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1
BigFloorTileScholar,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1
BigGrenade,ThrowingWeapon,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BigGrenadeExplosion,NonUsable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BigGrenadeProjectile,NonObtainable,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BigIndustrialTable,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
BigJungleTree,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
BigLarva,Creature,none,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
BigLarvaTrophy,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
BigLarvaVampireTrophy,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
BikiniBreastArmorBlue,BreastArmor,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BikiniBreastArmorGreen,BreastArmor,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BikiniBreastArmorRed,BreastArmor,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BikiniPantsArmorBlue,PantsArmor,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BikiniPantsArmorGreen,PantsArmor,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BikiniPantsArmorRed,PantsArmor,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BindingString,CastingItem,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BirdBoss,Creature,none,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
BirdBossBeam,NonObtainable,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BirdBossScanner,CastingItem,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BirdBossSpawnLocation,NonObtainable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BirdBossStone,NonObtainable,none,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
BirdPoop,NonObtainable,none,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
BlackBubblePearl,Valuable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BlackDesertDiamond,Valuable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BlackNecklace,Necklace,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BlackRing,Ring,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BlackSteelUrchin,Eatable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BlastBreastArmor,BreastArmor,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BlastHelm,Helm,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BlastPantsArmor,PantsArmor,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BlastingDung,NonUsable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BloatOat,Eatable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BloatOatPlant,NonObtainable,none,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1
BloatOatRare,Eatable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BloatOatSeed,PlaceablePrefab,none,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1
BlobRosaryNecklace,Necklace,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BloodSkull,Valuable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BlowDartProjectile,NonObtainable,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Blowpipe,RangeWeapon,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BlueCaveGuppy,Eatable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BlueFireFly,Critter,none,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1
BlueGlassKalimba,Valuable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BlueGlassShard,Valuable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BlueKelp,Eatable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BlueSlimeTrophy,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
BlunderBomb,PlaceablePrefab,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BlunderExplosion,NonUsable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Boat,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
BoatTurretProjectile,NonObtainable,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BoatWorkbench,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
Bomb,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
BombMortarPojectile,NonObtainable,none,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
BombNecklace,Necklace,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BombPepper,Eatable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BombPepperPlant,NonObtainable,none,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1
BombPepperRare,Eatable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BombPepperSeed,PlaceablePrefab,none,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1
BombRing,Ring,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BombScarab,Creature,none,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
BombScarabTrophy,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
BoneCreole,Valuable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BoneNecklace,Necklace,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BoneRing,Ring,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BossChest,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
BossLarva,Creature,none,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
BottomTracer,Eatable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BoundaryRing,Ring,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BoxOfChocolates,Eatable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BrightLavaEater,Eatable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BrokenCore,NonObtainable,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
BrokenCoreIdol,Valuable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BrokenCoreSentry1,NonObtainable,none,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
BrokenCoreSentry2,NonObtainable,none,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
BrokenGourd,Valuable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BrokenGrave,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
BrokenLegendarySword,MeleeWeapon,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BrokenStonePillar,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
BrokenToyShip,Valuable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BronzeBreastArmor,BreastArmor,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BronzeHelm,Helm,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BronzePantsArmor,PantsArmor,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BrownDuneTail,Eatable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BubbleGun,RangeWeapon,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BubblePearl,Valuable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BubblePearlNecklace,Necklace,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BubblePlayerProjectile,NonObtainable,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BubbleProjectile,NonObtainable,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bucket,Bucket,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BugNet,BugNet,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BulletHellProjectile,NonObtainable,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BunnyPoisonDartProjectile,NonObtainable,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BurnResistancePotion,Eatable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Burnzooka,RangeWeapon,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BurnzookaProjectile,NonObtainable,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bush,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
ButterflyBase,Critter,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ButterflyCitrus,Critter,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ButterflyDreamy,Critter,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ButterflyIcy,Critter,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ButterflySunset,Critter,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CalcifiedBone,NonUsable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Calendar,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
Camel,Creature,none,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
CamelBaby,Creature,none,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
Campfire,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
Candle,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
CandleStack,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
CandleStick,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
CarapaceBreastArmor,BreastArmor,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CarapaceHelm,Helm,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Carpenter,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
Carrock,Eatable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CarrockPlant,NonObtainable,none,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1
CarrockRare,Eatable,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CarrockSeed,PlaceablePrefab,none,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1
CartographyTable,PlaceablePrefab,none,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
